# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
A	A
a	a
AA	AA
AAA	AAA
aardvark	aardvark
aback	aback
abacus	abacus
abandon	abandon
abandoned	abandoned
abandonment	abandonment
abase	abase
abashed	abashed
abate	abate
abattoir	abattoir
abbess	abbess
abbey	abbey
abbot	abbot
abbreviate	abbreviate
abbreviation	abbreviation
ABC	ABC
abdicate	abdicate
abdomen	abdomen
abduct	abduct
abel	abel
Aberdonian	Aberdonian
aberrant	aberrant
aberration	aberration
abet	abet
abeyance	abeyance
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	abide
abiding	abiding
ability	ability
abject	abject
abjure	abjure
ablaze	ablaze
able	able
ablutions	ablutions
ably	ably
abnegation	abnegation
abnormal	abnormal
abnormality	abnormality
aboard	aboard
abode	abode
abolish	abolish
abolition	abolition
abolitionist	abolitionist
abominable	abominable
abominate	abominate
abomination	abomination
aboriginal	aboriginal
aborigine	aborigine
abort	abort
abortion	abortion
abortionist	abortionist
abortive	abortive
abound	abound
about	about
above	above
abracadabra	abracadabra
abrade	abrade
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abridge	abridge
abroad	abroad
abrogate	abrogate
abrupt	abrupt
ABS	ABS
abscess	abscess
abscond	abscond
abseil	abseil
absence	absence
absent	absent
absentee	absentee
absenteeism	absenteeism
absentia	absentia
absently	absently
absolute	absolute
absolutely	absolutely
absolution	absolution
absolutism	absolutism
absolve	absolve
absorb	absorb
absorbed	absorbed
absorbent	absorbent
absorbing	absorbing
absorption	absorption
abstain	abstain
abstainer	abstainer
abstemious	abstemious
abstention	abstention
abstinence	abstinence
abstract	abstract
abstracted	abstracted
abstraction	abstraction
abstruse	abstruse
absurd	absurd
abundance	abundance
abundant	abundant
abundantly
abuse	abuse
abusive	abusive
abut	abut
abysmal	abysmal
abyss	abyss
AC	AC
acacia	acacia
academia	academia
academic	academic
academician	academician
academy	academy
acappella	acappella
ACAS	ACAS
accede	accede
accelerate	accelerate
acceleration	acceleration
accelerator	accelerator
accent	accent
accented	accented
accentuate	accentuate
accept	accept
acceptable	acceptable
acceptance	acceptance
access	access
accessible	accessible
accession	accession
accessory	accessory
accident	accident
accidental	accidental
acclaim	acclaim
acclamation	acclamation
acclimatize	acclimatize
accolade	accolade
accommodate	accommodate
accommodating	accommodating
accommodation	accommodation
accompaniment	accompaniment
accompanist	accompanist
accompany	accompany
accomplice	accomplice
accomplish	accomplish
accomplished	accomplished
accomplishment	accomplishment
accord	accord
accordance	accordance
accordingly	accordingly
accordion	accordion
accost	accost
account	account
accountable	accountable
accountancy	accountancy
accountant	accountant
accoutrements	accoutrements
accredit	accredit
accreditation	accreditation
accredited	accredited
accretion	accretion
accrue	accrue
accumulate	accumulate
accuracy	accuracy
accurate	accurate
accursed	accursed
